job started at Mon Apr 6 17:27:55 EDT 2020
0	A	1	16	292	1	3	291
1	A	2	10	580	2	3	579
2	C	3	12	336	3	5	303
3	A	4	14	348	4	7	347
4	C	1	14	182	1	13	201
5	D	2	10	713	2	3	822
6	C	3	12	553	3	5	598
7	B	4	14	27	4	7	4
8	D	1	14	50	1	13	461
9	B	2	10	306	2	3	301
10	D	3	12	86	3	5	425
11	C	4	14	686	4	7	721
12	D	1	14	428	1	13	83
13	C	2	10	817	2	3	846
14	D	3	12	19	3	5	492
15	B	4	14	331	4	7	340
16	C	1	14	347	1	13	292
17	D	2	10	850	2	3	685
18	C	3	12	255	3	5	128
19	A	4	14	669	4	7	666
20	B	1	14	787	1	13	780
21	D	2	14	253	2	9	258
22	C	3	2	122	3	15	5
23	B	4	6	591	4	9	592
24	A	1	4	922	1	1	925
25	C	2	14	93	2	9	34
26	A	3	2	280	3	15	287
27	D	4	6	218	4	9	293
28	B	1	4	957	1	1	930
29	B	2	14	657	2	9	654
30	D	3	2	653	3	15	882
31	C	4	6	433	4	9	462
32	B	1	4	661	1	1	650
33	A	2	14	5	2	9	2
34	C	3	2	47	3	15	80
35	D	4	6	797	4	9	738
36	B	1	4	222	1	1	193
37	D	2	14	898	2	9	637
38	A	3	2	499	3	15	500
39	C	4	6	322	4	9	317
40	D	1	4	955	1	1	580
41	B	2	4	509	2	5	482
42	C	3	16	699	3	11	708
43	D	4	12	74	4	13	437
44	C	1	6	39	1	7	88
45	A	2	4	250	2	5	253
46	A	3	16	987	3	11	988
47	D	4	12	595	4	13	940
48	A	1	6	123	1	7	124
49	B	2	4	733	2	5	706
50	B	3	16	990	3	11	961
51	A	4	12	511	4	13	504
52	A	1	6	325	1	7	322
53	D	2	4	305	2	5	206
54	C	3	16	36	3	11	91
55	C	4	12	352	4	13	287
56	C	1	6	398	1	7	497
57	A	2	4	945	2	5	950
58	A	3	16	547	3	11	548
59	A	4	12	631	4	13	624
60	B	1	6	648	1	7	663
61	A	2	12	318	2	15	313
62	B	3	14	304	3	1	303
63	D	4	4	293	4	11	218
64	B	1	10	816	1	3	815
65	D	2	12	853	2	15	682
66	C	3	14	160	3	1	223
67	D	4	4	124	4	11	387
68	C	1	10	937	1	3	982
69	D	2	12	314	2	15	197
70	A	3	14	676	3	1	675
71	B	4	4	423	4	11	440
72	A	1	10	706	1	3	709
73	C	2	12	397	2	15	498
74	B	3	14	961	3	1	990
75	A	4	4	236	4	11	235
76	A	1	10	940	1	3	939
77	D	2	12	387	2	15	124
78	A	3	14	662	3	1	657
79	A	4	4	965	4	11	962
80	D	1	10	799	1	3	736
81	B	2	2	579	2	11	604
82	A	3	8	134	3	3	129
83	C	4	16	884	4	5	779
84	B	1	2	812	1	5	819
85	A	2	2	586	2	11	589
86	A	3	8	688	3	3	695
87	C	4	16	22	4	5	105
88	C	1	2	685	1	5	722
89	D	2	2	900	2	11	635
90	D	3	8	353	3	3	158
91	B	4	16	151	4	5	136
92	C	1	2	63	1	5	64
93	D	2	2	919	2	11	616
94	D	3	8	446	3	3	65
95	C	4	16	684	4	5	723
96	C	1	2	895	1	5	768
97	A	2	2	552	2	11	559
98	B	3	8	609	3	3	638
99	C	4	16	488	4	5	407
100	C	1	2	1021	1	5	898
101	C	2	8	211	2	1	172
102	C	3	4	959	3	13	960
103	B	4	8	740	4	3	763
104	B	1	14	637	1	1	610
105	C	2	8	950	2	1	969
106	D	3	4	897	3	13	638
107	D	4	8	498	4	3	13
108	B	1	14	984	1	1	967
109	A	2	8	951	2	1	944
110	A	3	4	319	3	13	312
111	A	4	8	75	4	3	76
112	B	1	14	20	1	1	11
113	A	2	8	54	2	1	49
114	D	3	4	958	3	13	577
115	D	4	8	627	4	3	908
116	B	1	14	131	1	1	156
117	D	2	8	472	2	1	39
118	B	3	4	810	3	13	821
119	A	4	8	633	4	3	638
120	A	1	14	590	1	1	585
121	C	2	6	5	2	7	122
122	C	3	10	88	3	5	39
123	A	4	2	471	4	1	464
124	A	1	8	240	1	15	247
125	D	2	6	555	2	7	980
126	A	3	10	484	3	5	483
127	C	4	2	227	4	1	156
128	C	1	8	854	1	15	809
129	A	2	6	707	2	7	708
130	A	3	10	200	3	5	207
131	D	4	2	39	4	1	472
132	A	1	8	243	1	15	244
133	A	2	6	380	2	7	379
134	A	3	10	140	3	5	139
135	C	4	2	350	4	1	289
136	D	1	8	464	1	15	47
137	D	2	6	328	2	7	183
138	D	3	10	194	3	5	317
139	B	4	2	704	4	1	735
140	A	1	8	122	1	15	125
141	A	2	10	313	2	3	318
142	D	3	12	326	3	7	185
143	A	4	10	367	4	9	360
144	B	1	16	109	1	13	114
145	A	2	10	386	2	3	389
146	B	3	12	536	3	7	519
147	C	4	10	23	4	9	104
148	C	1	16	308	1	13	331
149	B	2	10	807	2	3	824
150	A	3	12	603	3	7	604
151	B	4	10	640	4	9	671
152	B	1	16	96	1	13	127
153	D	2	10	68	2	3	443
154	C	3	12	575	3	7	576
155	D	4	10	463	4	9	48
156	B	1	16	378	1	13	357
157	D	2	10	754	2	3	781
158	D	3	12	1023	3	7	512
159	A	4	10	788	4	9	787
160	D	1	16	677	1	13	858
161	D	2	16	507	2	13	4
162	C	3	6	647	3	9	760
163	A	4	12	1007	4	7	1000
164	C	1	12	774	1	11	889
165	C	2	16	169	2	13	214
166	A	3	6	206	3	9	201
167	D	4	12	222	4	7	289
168	A	1	12	595	1	11	596
169	D	2	16	109	2	13	402
170	D	3	6	739	3	9	796
171	B	4	12	687	4	7	688
172	D	1	12	593	1	11	942
173	A	2	16	847	2	13	840
